Year,FF_emissions,LUC_emissions,ocean_sink,land_sink,T_anomaly
1959,2.45,1.47,0.92,0.97,0.08
1960,2.57,1.46,0.93,1.59,0.08
1961,2.58,1.53,0.80,1.65,0.15
1962,2.69,1.52,0.87,2.15,0.06
1963,2.83,1.53,1.03,2.12,0.05
1964,3.00,1.52,1.29,2.19,-0.09
1965,3.13,1.55,1.51,0.83,-0.05
1966,3.29,1.55,1.50,1.01,0.06
1967,3.39,1.59,1.25,2.45,-0.03
1968,3.57,1.55,1.23,1.78,-0.02
1969,3.78,1.54,1.32,1.20,0.07
1970,4.05,1.53,1.21,1.98,0.03
1971,4.21,1.40,1.31,2.76,-0.13
1972,4.38,1.33,1.60,0.98,0.08
1973,4.61,1.32,1.55,1.28,0.20
1974,4.62,1.29,1.49,2.98,-0.04
1975,4.60,1.30,1.54,1.75,0.03
1976,4.86,1.32,1.65,2.48,-0.08
1977,5.02,1.35,1.70,0.59,0.25
1978,5.07,1.30,1.72,1.92,0.05
1979,5.36,1.25,1.55,0.53,0.22
1980,5.30,1.24,1.77,1.15,0.25
1981,5.14,1.25,1.81,2.14,0.28
1982,5.09,1.26,1.93,2.31,0.12
1983,5.08,1.43,2.11,0.49,0.26
1984,5.26,1.46,1.98,2.11,0.13
1985,5.42,1.50,1.99,1.47,0.13
1986,5.58,1.53,2.04,2.89,0.25
1987,5.73,1.51,2.02,-0.48,0.30
1988,5.94,1.51,1.87,0.81,0.38
1989,6.07,1.53,1.97,2.70,0.27
1990,6.09,1.44,2.03,3.00,0.41
1991,6.17,1.64,2.13,4.12,0.48
1992,6.12,1.68,2.38,3.94,0.28
1993,6.12,1.55,2.42,2.67,0.29
1994,6.23,1.50,2.21,1.96,0.38
1995,6.32,1.49,2.11,1.57,0.46
1996,6.48,1.47,2.03,3.64,0.35
1997,6.57,2.18,2.15,2.41,0.53
1998,6.59,1.54,2.33,-0.16,0.66
1999,6.62,1.30,2.21,2.85,0.42
2000,6.79,1.20,2.10,3.26,0.40
2001,6.97,0.96,2.00,2.04,0.53
2002,7.07,1.07,2.26,0.83,0.59
2003,7.47,0.90,2.38,1.16,0.54
2004,7.85,1.04,2.27,3.31,0.47
2005,8.23,1.03,2.29,1.81,0.67
2006,8.53,1.09,2.45,3.41,0.63
2007,8.78,0.97,2.49,2.82,0.54
2008,8.96,0.67,2.47,3.38,0.53
2009,8.87,0.75,2.52,3.68,0.68
2010,9.21,0.88,2.49,2.43,0.73
2011,9.54,0.91,2.65,4.23,0.65
2012,9.69,0.97,2.74,2.93,0.71
2013,9.82,0.92,2.75,2.75,0.68
2014,9.89,1.10,2.88,3.88,0.76
2015,9.90,1.32,3.03,1.88,0.89