ID,Cement,Slag,Ash,Water,Superplasticizer,Coarse,Fine,Age,Strength
1,102.0,153.0,0.0,192.0,0.0,887.0,942.0,3,4.57
2,153.0,102.0,0.0,192.0,0.0,888.0,943.1,3,4.78
3,141.3,212.0,0.0,203.5,0.0,971.8,748.5,3,4.83
4,183.9,122.6,0.0,203.5,0.0,959.2,800.0,3,4.9
5,385.0,0.0,0.0,186.0,0.0,966.0,763.0,1,6.27
6,236.0,0.0,0.0,194.0,0.0,968.0,885.0,3,6.47
7,212.0,141.3,0.0,203.5,0.0,973.4,750.0,3,6.81
8,133.0,200.0,0.0,192.0,0.0,927.4,839.2,3,6.88
9,166.8,250.2,0.0,203.5,0.0,975.6,692.6,3,6.9
10,173.0,116.0,0.0,192.0,0.0,946.8,856.8,3,6.94
11,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,3,7.32
12,102.0,153.0,0.0,192.0,0.0,887.0,942.0,7,7.68
13,108.3,162.4,0.0,203.5,0.0,938.2,849.0,7,7.72
14,200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7,7.84
15,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06
16,255.0,0.0,0.0,192.0,0.0,889.8,945.0,3,8.2
17,153.0,102.0,0.0,192.0,0.0,888.0,943.1,7,8.37
18,250.0,0.0,95.7,191.8,5.3,948.9,857.2,3,8.49
19,158.4,0.0,194.9,219.7,11.0,897.7,712.9,28,8.54
20,158.0,0.0,195.0,220.0,11.0,898.0,713.0,28,8.54
21,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7,9.01
22,198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13
23,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3,9.45
24,203.5,305.3,0.0,203.5,0.0,963.4,630.0,3,9.56
25,158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7,9.62
26,157.0,236.0,0.0,192.0,0.0,935.4,781.2,3,9.69
27,250.2,166.8,0.0,203.5,0.0,977.6,694.1,3,9.73
28,154.8,0.0,142.8,193.3,9.1,877.2,867.7,28,9.74
29,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3,10.03
30,116.0,173.0,0.0,192.0,0.0,909.8,891.9,7,10.09
31,238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7,10.34
32,122.6,183.9,0.0,203.5,0.0,958.2,800.1,7,10.35
33,233.8,0.0,94.6,197.9,4.6,947.0,852.2,3,10.38
34,141.3,212.0,0.0,203.5,0.0,971.8,748.5,7,10.39
35,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,3,10.76
36,183.9,122.6,0.0,203.5,0.0,959.2,800.0,7,10.79
37,225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7,11.17
38,277.0,0.0,0.0,191.0,0.0,968.0,856.0,3,11.36
39,173.0,116.0,0.0,192.0,0.0,946.8,856.8,7,11.39
40,382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.47
41,289.0,0.0,0.0,192.0,0.0,913.2,895.3,3,11.65
42,203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7,11.96
43,251.4,0.0,118.3,192.9,5.8,1043.6,754.3,3,11.98
44,238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7,12.05
45,200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28,12.25
46,181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7,12.37
47,154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28,12.46
48,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47
49,250.0,0.0,0.0,182.0,0.0,1100.0,820.0,7,12.73
50,192.0,288.0,0.0,192.0,0.0,929.8,716.1,3,12.79
51,236.0,0.0,0.0,194.0,0.0,968.0,885.0,14,12.84
52,220.8,147.2,0.0,185.7,0.0,1055.0,744.3,7,13.09
53,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,3,13.18
54,145.0,0.0,134.0,181.0,11.0,979.0,812.0,28,13.2
55,339.0,0.0,0.0,197.0,0.0,968.0,781.0,3,13.22
56,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3,13.36
57,284.0,15.0,141.0,179.0,5.5,842.0,801.0,3,13.4
58,151.0,0.0,185.0,167.0,16.0,1074.0,678.0,28,13.46
59,331.0,0.0,0.0,192.0,0.0,978.0,825.0,3,13.52
60,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,3,13.54
61,236.0,157.0,0.0,192.0,0.0,972.6,749.1,3,13.57
62,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,3,13.62
63,133.0,200.0,0.0,192.0,0.0,927.4,839.2,7,13.66
64,252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7,13.71
65,305.3,203.5,0.0,203.5,0.0,965.4,631.0,3,14.14
66,296.0,0.0,0.0,192.0,0.0,1085.0,765.0,7,14.2
67,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,3,14.31
68,381.4,0.0,0.0,185.7,0.0,1104.6,784.3,7,14.54
69,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59
70,289.0,0.0,0.0,192.0,0.0,913.2,895.3,7,14.6
71,198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.64
72,385.0,0.0,0.0,186.0,0.0,966.0,763.0,3,14.7
73,295.8,0.0,0.0,185.7,0.0,1091.4,769.3,7,14.84
74,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
75,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3,14.99
76,310.0,0.0,0.0,192.0,0.0,970.0,850.0,7,14.99
77,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,15.04
78,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05
79,202.0,11.0,141.0,206.0,1.7,942.0,801.0,7,15.07
80,164.0,0.0,200.0,181.0,13.0,849.0,846.0,28,15.09
81,144.0,15.0,195.0,176.0,6.0,1021.0,709.0,28,15.34
82,249.1,0.0,98.8,158.1,12.8,987.8,889.0,3,15.36
83,144.0,0.0,175.0,158.0,18.0,943.0,844.0,28,15.42
84,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,3,15.44
85,148.0,0.0,182.0,181.0,15.0,839.0,884.0,28,15.52
86,167.0,75.4,167.0,164.0,7.9,1007.3,770.1,3,15.52
87,150.9,0.0,183.9,166.6,11.6,991.2,772.2,28,15.57
88,333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,15.62
89,238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7,15.69
90,166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75
91,288.0,192.0,0.0,192.0,0.0,932.0,717.8,3,16.11
92,331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,16.26
93,157.0,236.0,0.0,192.0,0.0,935.4,781.2,7,16.89
94,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7,17.24
95,102.0,153.0,0.0,192.0,0.0,887.0,942.0,28,17.28
96,225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28,17.34
97,213.5,0.0,174.2,154.6,11.7,1052.3,775.5,3,17.37
98,325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7,17.54
99,238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28,17.54
100,238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28,17.58
101,186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28,17.6
102,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
103,148.0,0.0,137.0,158.0,16.0,1002.0,830.0,28,17.95
104,153.0,102.0,0.0,192.0,0.0,888.0,943.1,28,17.96
105,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18.0
106,165.0,0.0,150.0,182.0,12.0,1023.0,729.0,28,18.03
107,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,18.13
108,154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28,18.29
109,236.0,0.0,0.0,194.0,0.0,968.0,885.0,28,18.42
110,255.0,0.0,0.0,192.0,0.0,889.8,945.0,28,18.75
111,152.7,144.7,0.0,178.1,8.0,999.7,822.2,28,19.01
112,393.0,0.0,0.0,192.0,0.0,940.0,758.0,3,19.11
113,250.2,166.8,0.0,203.5,0.0,977.6,694.1,7,19.35
114,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,14,19.42
115,203.5,305.3,0.0,203.5,0.0,963.4,630.0,7,19.54
116,252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,19.69
117,252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,19.69
118,252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,19.77
119,272.8,181.9,0.0,185.7,0.0,1012.4,714.3,7,19.77
120,146.5,114.6,89.3,201.9,8.8,860.0,829.5,28,19.99
121,147.0,115.0,89.0,202.0,9.0,860.0,829.0,28,19.99
122,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,14,20.08
123,236.0,157.0,0.0,192.0,0.0,972.6,749.1,7,20.42
124,108.3,162.4,0.0,203.5,0.0,938.2,849.0,28,20.59
125,251.4,0.0,118.3,192.9,5.8,1043.6,754.3,14,20.73
126,322.0,0.0,0.0,203.0,0.0,974.0,800.0,14,20.77
127,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,20.92
128,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3,21.02
129,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,14,21.06
130,339.0,0.0,0.0,185.0,0.0,1069.0,754.0,7,21.16
131,339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7,21.18
132,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29
133,192.0,288.0,0.0,192.0,0.0,929.8,716.1,7,21.48
134,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28,21.54
135,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,14,21.6
136,296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28,21.65
137,302.0,0.0,0.0,203.0,0.0,974.0,817.0,28,21.75
138,252.3,0.0,98.8,146.3,14.2,987.8,889.0,3,21.78
139,210.7,316.1,0.0,185.7,0.0,977.0,689.3,7,21.82
140,290.2,193.5,0.0,185.7,0.0,998.2,704.3,7,21.86
141,255.0,0.0,0.0,192.0,0.0,889.8,945.0,90,21.86
142,228.0,342.1,0.0,185.7,0.0,955.8,674.3,7,21.92
143,202.0,11.0,141.0,206.0,1.7,942.0,801.0,28,21.97
144,233.8,0.0,94.6,197.9,4.6,947.0,852.2,14,22.14
145,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,14,22.32
146,281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28,22.44
147,381.4,0.0,0.0,185.7,0.0,1104.6,784.3,28,22.49
148,350.0,0.0,0.0,203.0,0.0,974.0,775.0,14,22.53
149,203.5,135.7,0.0,185.7,0.0,1076.2,759.3,28,22.63
150,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,14,22.72
151,387.0,20.0,94.0,157.0,14.3,938.0,845.0,3,22.75
152,233.8,0.0,94.6,197.9,4.6,947.0,852.2,28,22.84
153,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,22.9
154,295.7,0.0,95.6,171.5,8.9,955.1,859.2,3,22.95
155,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
156,277.1,0.0,97.4,160.6,11.8,973.9,875.6,3,23.14
157,385.0,0.0,0.0,186.0,0.0,966.0,763.0,7,23.22
158,202.0,11.0,141.0,206.0,1.7,942.0,801.0,56,23.25
159,446.0,24.0,79.0,162.0,11.6,967.0,712.0,3,23.35
160,333.0,0.0,0.0,192.0,0.0,931.2,842.6,7,23.4
161,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,3,23.52
162,149.0,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
163,359.0,19.0,141.0,154.0,10.9,942.0,801.0,3,23.64
164,149.0,139.0,109.0,193.0,6.0,892.0,780.0,28,23.69
165,145.7,172.6,0.0,181.9,3.4,985.8,816.8,28,23.74
166,154.8,183.4,0.0,193.3,9.1,877.2,867.7,28,23.79
167,275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3,23.8
168,300.0,0.0,120.0,212.0,10.0,878.0,728.0,28,23.84
169,299.8,0.0,119.8,211.5,9.9,878.2,727.6,28,23.84
170,436.0,0.0,0.0,218.0,0.0,838.4,719.7,28,23.85
171,167.0,187.0,195.0,185.0,7.0,898.0,636.0,28,23.89
172,382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7,24.0
173,382.0,0.0,0.0,185.0,0.0,1047.0,739.0,7,24.0
174,183.9,122.6,0.0,203.5,0.0,959.2,800.0,28,24.05
175,236.0,0.0,0.0,193.0,0.0,968.0,885.0,180,24.1
176,173.0,116.0,0.0,192.0,0.0,946.8,856.8,28,24.28
177,154.0,174.0,185.0,228.0,7.0,845.0,612.0,28,24.34
178,480.0,0.0,0.0,192.0,0.0,936.0,721.0,3,24.39
179,316.1,210.7,0.0,185.7,0.0,977.0,689.3,7,24.44
180,222.4,0.0,96.7,189.3,4.5,967.1,870.3,14,24.45
181,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28,24.48
182,250.0,0.0,95.7,191.8,5.3,948.9,857.2,14,24.66
183,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,28,24.85
184,222.4,0.0,96.7,189.3,4.5,967.1,870.3,28,24.89
185,250.0,0.0,95.7,187.4,5.5,956.9,861.2,14,24.92
186,194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14,24.99
187,446.0,24.0,79.0,162.0,11.6,967.0,712.0,3,25.02
188,236.0,0.0,0.0,193.0,0.0,968.0,885.0,365,25.08
189,313.0,0.0,0.0,178.0,8.0,1000.0,822.0,28,25.1
190,359.0,19.0,141.0,154.0,10.9,942.0,801.0,3,25.12
191,322.0,0.0,0.0,203.0,0.0,974.0,800.0,28,25.18
192,295.0,0.0,0.0,185.0,0.0,1069.0,769.0,28,25.18
193,296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28,25.18
194,295.8,0.0,0.0,185.7,0.0,1091.4,769.3,28,25.22
195,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,14,25.37
196,239.6,359.4,0.0,185.7,0.0,941.6,664.3,7,25.42
197,397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,25.45
198,102.0,153.0,0.0,192.0,0.0,887.0,942.0,90,25.46
199,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,14,25.48
200,387.0,20.0,94.0,157.0,13.9,938.0,845.0,3,25.51
201,153.1,145.0,113.0,178.5,8.0,1001.9,688.7,28,25.56
202,153.0,145.0,113.0,178.0,8.0,1002.0,689.0,28,25.56
203,289.0,0.0,0.0,192.0,0.0,913.2,895.3,28,25.57
204,491.0,26.0,123.0,210.0,3.9,882.0,699.0,3,25.61
205,238.1,0.0,94.1,186.7,7.0,949.9,847.0,14,25.69
206,170.3,155.5,0.0,185.7,0.0,1026.6,724.3,28,25.73
207,220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28,25.75
208,305.3,203.5,0.0,203.5,0.0,965.4,631.0,7,25.89
209,277.0,0.0,0.0,191.0,0.0,968.0,856.0,28,25.97
210,218.9,0.0,124.1,158.5,11.3,1078.7,794.9,14,26.05
211,375.0,0.0,0.0,186.0,0.0,1038.0,758.0,7,26.06
212,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,26.06
213,165.0,0.0,143.6,163.8,0.0,1005.6,900.9,28,26.2
214,153.0,145.0,113.0,178.0,8.0,867.0,824.0,28,26.23
215,153.0,102.0,0.0,192.0,0.0,888.0,943.1,90,26.32
216,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,28,26.4
217,302.0,0.0,0.0,203.0,0.0,974.0,817.0,180,26.74
218,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,14,26.77
219,147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28,26.92
220,148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28,26.92
221,339.0,0.0,0.0,197.0,0.0,968.0,781.0,14,27.04
222,250.0,0.0,95.7,191.8,5.3,948.9,857.2,28,27.22
223,164.0,163.0,128.0,197.0,8.0,961.0,641.0,28,27.23
224,350.0,0.0,0.0,203.0,0.0,974.0,775.0,28,27.34
225,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
226,158.6,148.9,116.0,175.1,15.0,953.3,719.7,28,27.68
227,159.0,149.0,116.0,175.0,15.0,953.0,720.0,28,27.68
228,393.0,0.0,0.0,192.0,0.0,940.6,785.6,7,27.74
229,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28,27.77
230,133.0,200.0,0.0,192.0,0.0,927.4,839.2,28,27.87
231,181.9,272.8,0.0,185.7,0.0,1012.4,714.3,28,27.94
232,388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1
233,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.24
234,323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.3
235,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28,28.47
236,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,28.6
237,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,56,28.63
238,236.9,91.7,71.5,246.9,6.0,852.9,695.4,28,28.63
239,249.1,0.0,98.8,158.1,12.8,987.8,889.0,14,28.68
240,133.1,210.2,0.0,195.7,3.1,949.4,795.3,28,28.94
241,155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
242,155.0,184.0,143.0,194.0,9.0,880.0,699.0,28,28.99
243,136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
244,250.0,0.0,95.7,187.4,5.5,956.9,861.2,28,29.22
245,108.3,162.4,0.0,203.5,0.0,938.2,849.0,90,29.23
246,156.0,178.0,187.0,221.0,7.0,854.0,614.0,28,29.41
247,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
248,491.0,26.0,123.0,201.0,3.9,822.0,699.0,3,29.55
249,213.5,0.0,174.2,159.2,11.7,1043.6,771.9,14,29.59
250,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,28,29.65
251,143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,29.72
252,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
253,144.0,170.0,133.0,192.0,8.0,814.0,805.0,28,29.87
254,141.3,212.0,0.0,203.5,0.0,971.8,748.5,28,29.89
255,350.0,0.0,0.0,203.0,0.0,974.0,775.0,56,29.98
256,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08
257,305.0,0.0,100.0,196.0,10.0,959.0,705.0,28,30.12
258,400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7,30.14
259,218.9,0.0,124.1,158.5,11.3,1078.7,794.9,28,30.22
260,238.1,0.0,94.1,186.7,7.0,949.9,847.0,28,30.23
261,200.0,133.0,0.0,192.0,0.0,965.4,806.2,28,30.44
262,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
263,325.0,0.0,0.0,184.0,0.0,1063.0,783.0,28,30.57
264,162.0,214.0,164.0,202.0,10.0,820.0,680.0,28,30.65
265,249.1,0.0,98.8,158.1,12.8,987.8,889.0,28,30.85
266,297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7,30.96
267,116.0,173.0,0.0,192.0,0.0,909.8,891.9,90,31.02
268,133.0,210.0,0.0,196.0,3.0,949.0,795.0,28,31.03
269,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
270,322.2,0.0,115.6,196.0,10.4,817.9,813.4,28,31.18
271,277.0,0.0,0.0,191.0,0.0,968.0,856.0,90,31.25
272,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,31.35
273,350.0,0.0,0.0,203.0,0.0,974.0,775.0,90,31.35
274,385.0,0.0,0.0,186.0,0.0,966.0,763.0,28,31.35
275,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14,31.35
276,272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28,31.38
277,296.0,0.0,107.0,221.0,11.0,819.0,778.0,28,31.42
278,296.0,0.0,106.7,221.4,10.5,819.2,778.4,28,31.42
279,331.0,0.0,0.0,192.0,0.0,978.0,825.0,28,31.45
280,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56,31.54
281,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,28,31.64
282,339.0,0.0,0.0,185.0,0.0,1060.0,754.0,28,31.65
283,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,56,31.72
284,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,31.74
285,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
286,298.0,0.0,107.0,210.0,11.0,880.0,744.0,28,31.87
287,298.2,0.0,107.0,209.7,11.1,879.6,744.2,28,31.88
288,339.2,0.0,0.0,185.7,0.0,1069.2,754.3,28,31.9
289,376.0,0.0,0.0,214.6,0.0,1003.5,762.4,28,31.97
290,333.0,0.0,0.0,192.0,0.0,931.2,842.6,28,31.97
291,339.0,0.0,0.0,197.0,0.0,968.0,781.0,28,32.04
292,173.0,116.0,0.0,192.0,0.0,946.8,856.8,90,32.1
293,424.0,22.0,132.0,168.0,8.9,822.0,750.0,3,32.11
294,277.0,0.0,0.0,191.0,0.0,968.0,856.0,180,32.33
295,261.0,100.0,78.0,201.0,9.0,864.0,761.0,28,32.4
296,183.9,122.6,0.0,203.5,0.0,959.2,800.0,90,32.53
297,193.5,290.2,0.0,185.7,0.0,998.2,704.3,28,32.63
298,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28,32.66
299,145.9,230.5,0.0,202.5,3.4,827.0,871.8,28,32.72
300,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,32.72
301,159.1,186.7,0.0,175.6,11.3,989.6,788.9,28,32.77
302,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82
303,160.0,188.0,146.0,203.0,11.0,829.0,710.0,28,32.84
304,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
305,236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,32.88
306,167.0,75.4,167.0,164.0,7.9,1007.3,770.1,14,32.9
307,307.0,0.0,0.0,193.0,0.0,968.0,812.0,90,32.92
308,149.0,236.0,0.0,176.0,13.0,847.0,893.0,28,32.96
309,212.0,141.3,0.0,203.5,0.0,973.4,750.0,28,33.0
310,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
311,290.2,193.5,0.0,185.7,0.0,998.2,704.3,28,33.04
312,157.0,214.0,152.0,200.0,9.0,819.0,704.0,28,33.05
313,397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28,33.08
314,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
315,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,33.21
316,132.0,207.0,161.0,179.0,5.0,867.0,736.0,28,33.3
317,132.0,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
318,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14,33.36
319,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
320,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
321,318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.4
322,252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
323,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
324,303.6,139.9,0.0,213.5,6.2,895.5,722.5,28,33.42
325,304.0,140.0,0.0,214.0,6.0,895.0,722.0,28,33.42
326,491.0,26.0,123.0,210.0,3.9,882.0,699.0,7,33.49
327,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100,33.54
328,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,100,33.56
329,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28,33.61
330,157.0,236.0,0.0,192.0,0.0,935.4,781.2,28,33.66
331,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
332,310.0,143.0,111.0,168.0,22.0,914.0,651.0,28,33.69
333,277.0,0.0,0.0,191.0,0.0,968.0,856.0,360,33.7
334,213.5,0.0,174.2,154.6,11.7,1052.3,775.5,14,33.7
335,262.0,111.0,86.0,195.0,5.0,895.0,733.0,28,33.72
336,261.9,110.5,86.1,195.4,5.0,895.2,732.6,28,33.72
337,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28,33.73
338,255.0,99.0,77.0,189.0,6.0,919.0,749.0,28,33.8
339,255.3,98.8,77.0,188.6,6.5,919.0,749.3,28,33.8
340,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3,33.8
341,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,28,33.94
342,166.8,250.2,0.0,203.5,0.0,975.6,692.6,28,33.95
343,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56,34.2
344,178.0,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
345,350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28,34.29
346,480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57
347,290.4,0.0,96.2,168.1,9.4,961.2,865.0,14,34.67
348,387.0,20.0,94.0,157.0,11.6,938.0,845.0,3,34.77
349,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.08
350,339.0,0.0,0.0,197.0,0.0,968.0,781.0,90,35.17
351,139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23
352,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
